	id	name	num_neighborhoods_enriched	top	num_connected_components	size_connected_components	num_large_connected_components	domain
0	0	11-beta-hydroxysteroid_dehydrogenase_[NAD(P)]_activity	0.0	False	0		0	0
1	1	11-cis_retinal_binding	0.0	False	0		0	0
2	2	14-3-3_protein_binding	0.0	False	0		0	0
3	3	1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine_binding	0.0	False	0		0	0
4	4	15-hydroxyprostaglandin-D_dehydrogenase_(NADP+)_activity	0.0	False	0		0	0
5	5	15-hydroxyprostaglandin_dehydrogenase_(NAD+)_activity	0.0	False	0		0	0
6	6	15-oxoprostaglandin_13-oxidase_activity	0.0	False	0		0	0
7	7	17-alpha,20-alpha-dihydroxypregn-4-en-3-one_dehydrogenase_activity	0.0	False	0		0	0
8	8	17-beta-hydroxysteroid_dehydrogenase_(NAD+)_activity	0.0	False	0		0	0
9	9	1-acylglycerol-3-phosphate_O-acyltransferase_activity	0.0	False	0		0	0
10	10	1-acylglycerophosphocholine_O-acyltransferase_activity	0.0	False	0		0	0
11	11	1-alkylglycerophosphocholine_O-acetyltransferase_activity	0.0	False	0		0	0
12	12	1-alpha,25-dihydroxyvitamin_D3_24-hydroxylase_activity	0.0	False	0		0	0
13	13	1-aminocyclopropane-1-carboxylate_synthase_activity	0.0	False	0		0	0
14	14	1-phosphatidylinositol-3-kinase_activity	0.0	False	0		0	0
15	15	1-phosphatidylinositol-3-kinase_regulator_activity	0.0	False	0		0	0
16	16	1-phosphatidylinositol_4-kinase_activity	0.0	False	0		0	0
17	17	1-phosphatidylinositol-4-phosphate_3-kinase_activity	0.0	False	0		0	0
18	18	1-phosphatidylinositol-4-phosphate_3-kinase,_class_IA_complex	0.0	False	0		0	0
19	19	1-phosphatidylinositol-4-phosphate_3-kinase,_class_IB_complex	0.0	False	0		0	0
20	20	1-phosphatidylinositol-4-phosphate_5-kinase_activity	0.0	False	0		0	0
21	21	1-phosphatidylinositol_binding	0.0	False	0		0	0
22	22	1-pyrroline-5-carboxylate_dehydrogenase_activity	0.0	False	0		0	0
23	23	2,4-dienoyl-CoA_reductase_(NADPH)_activity	0.0	False	0		0	0
24	24	2-5-oligoadenylate_synthetase_activity	10.0	True	1	[10]	1	0
25	25	2-aminoadipate_transaminase_activity	0.0	False	0		0	0
26	26	2-hydroxyglutarate_dehydrogenase_activity	0.0	False	0		0	0
27	27	2_iron,_2_sulfur_cluster_binding	0.0	False	0		0	0
