	id	key	label	domain	nes	num_domains
0	0	ZSCAN22	ZSCAN22	1	8.710490796871584	8.0
1	1	A1BG	A1BG	1	9.640506278865441	8.0
2	2	UGT1A5	UGT1A5	1	6.918874069588766	8.0
3	3	VCAM1	VCAM1	1	9.529836305005606	8.0
4	4	A1BG-AS1	A1BG-AS1	0	-0.0	0.0
5	5	A1CF	A1CF	0	-0.0	0.0
6	6	SYNE3	SYNE3	0	-0.0	0.0
7	7	A2M	A2M	0	1.4522800890767524	0.0
8	8	CHCHD3	CHCHD3	0	1.597422211770844	0.0
9	9	RPS19	RPS19	0	1.2611001592282856	0.0
10	10	A2M-AS1	A2M-AS1	0	1.597422211770844	0.0
11	11	A2ML1	A2ML1	0	-0.0	0.0
12	12	PHC1	PHC1	0	-0.0	0.0
13	13	A4GALT	A4GALT	0	-0.0	0.0
14	14	A4GNT	A4GNT	0	-0.0	0.0
15	15	DBR1	DBR1	0	-0.0	0.0
16	16	C1QA	C1QA	0	0.6114329262127943	0.0
17	17	DZIP1L	DZIP1L	0	0.05446297810280082	0.0
18	18	POLR2E	POLR2E	0	-0.0	0.0
19	19	AADAC	AADAC	0	0.5171733906934507	0.0
20	20	SUCNR1	SUCNR1	0	0.010822541974359808	0.0
21	21	TMTC2	TMTC2	0	-0.0	0.0
22	22	AADAT	AADAT	0	-0.0	0.0
23	23	AAGAB	AAGAB	0	3.3650937423971596	0.0
24	24	POLI	POLI	0	0.4081252677372418	0.0
25	25	PANK1	PANK1	0	3.3290454268971486	0.0
26	26	ABCC3	ABCC3	0	1.5033874316444857	0.0
27	27	SMAD3	SMAD3	0	5.737199765684386	0.0
28	28	AAK1	AAK1	0	2.2828194089221365	0.0
29	29	ANXA4	ANXA4	12	8.64655594437929	3.0
30	30	NFU1	NFU1	0	-0.0	0.0
31	31	AAMDC	AAMDC	0	-0.0	0.0
32	32	INTS4	INTS4	0	1.7126225286362604	0.0
33	33	CLNS1A	CLNS1A	0	1.3789169692728114	0.0
34	34	RSF1	RSF1	0	-0.0	0.0
35	35	ZNHIT1	ZNHIT1	0	-0.0	0.0
36	36	NXPH3	NXPH3	0	-0.0	0.0
37	37	CLDN20	CLDN20	0	1.6917659330806385	0.0
38	38	RARS2	RARS2	0	0.334238146039066	0.0
39	39	LMTK2	LMTK2	0	-0.0	0.0
40	40	AAMP	AAMP	0	-0.0	0.0
41	41	PNKD	PNKD	0	-0.0	0.0
42	42	TMBIM1	TMBIM1	0	0.4902502174948518	0.0
43	43	ARPC2	ARPC2	0	-0.0	0.0
44	44	GPBAR1	GPBAR1	0	0.3593016503646842	0.0
45	45	SIX3	SIX3	0	-0.0	0.0
46	46	CCHCR1	CCHCR1	0	-0.0	0.0
47	47	RPS25	RPS25	0	0.03222657424648863	0.0
48	48	AANAT	AANAT	0	-0.0	0.0
